,Title,State,District,Date.of.Challenge.Removal,Month,Year,school_district,County_Merge,County.FIPS,county_state,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA,code,Trends_DMA
1368,Tricks (Tricks Series),Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,pickens county,227,"pickens, GA",GA ,Pickens                     ,13,227,10000,9,ATLANTA (GA)                                                         ,524,US-GA-524
1369,Tricks (Tricks Series),Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,21,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1387,The Kite Runner,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,19,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1388,The Kite Runner,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,bartow county,15,"bartow, GA",GA ,Bartow                      ,13,15,28710,9,ATLANTA (GA)                                                         ,524,US-GA-524
1389,The Kite Runner,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,57,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1390,The Kite Runner,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,pickens county,227,"pickens, GA",GA ,Pickens                     ,13,227,10000,9,ATLANTA (GA)                                                         ,524,US-GA-524
1391,The Kite Runner,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,21,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1504,I am Jazz,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,19,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1505,I am Jazz,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,bartow county,15,"bartow, GA",GA ,Bartow                      ,13,15,28710,9,ATLANTA (GA)                                                         ,524,US-GA-524
1506,I am Jazz,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,57,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1507,I am Jazz,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,pickens county,227,"pickens, GA",GA ,Pickens                     ,13,227,10000,9,ATLANTA (GA)                                                         ,524,US-GA-524
1508,I am Jazz,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,21,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1537,All Boys Aren't Blue,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
1799,Beyond Magenta: Transgender Teens Speak Out,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,19,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1800,Beyond Magenta: Transgender Teens Speak Out,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,bartow county,15,"bartow, GA",GA ,Bartow                      ,13,15,28710,9,ATLANTA (GA)                                                         ,524,US-GA-524
1801,Beyond Magenta: Transgender Teens Speak Out,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,57,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1802,Beyond Magenta: Transgender Teens Speak Out,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,pickens county,227,"pickens, GA",GA ,Pickens                     ,13,227,10000,9,ATLANTA (GA)                                                         ,524,US-GA-524
1803,Beyond Magenta: Transgender Teens Speak Out,Georgia,Cherokee County School District,22-Feb,2,2022,cherokee county school district,cherokee county,21,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1898,Two Boys Kissing,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
2309,The Bluest Eye,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
2356,"l8r, g8r",Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
2376,The Infinite Moment of Us,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
2530,Out of Darkness,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
2615,Nineteen Minutes,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
2748,Juliet Takes a Breath,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
2925,The Invisible Life of Addie LaRue,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,19,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
2926,The Invisible Life of Addie LaRue,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,bartow county,15,"bartow, GA",GA ,Bartow                      ,13,15,28710,9,ATLANTA (GA)                                                         ,524,US-GA-524
2927,The Invisible Life of Addie LaRue,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,57,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
2928,The Invisible Life of Addie LaRue,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,pickens county,227,"pickens, GA",GA ,Pickens                     ,13,227,10000,9,ATLANTA (GA)                                                         ,524,US-GA-524
2929,The Invisible Life of Addie LaRue,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,21,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
3199,This One Summer,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
3312,After We Collided (After Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,19,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
3313,After We Collided (After Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,bartow county,15,"bartow, GA",GA ,Bartow                      ,13,15,28710,9,ATLANTA (GA)                                                         ,524,US-GA-524
3314,After We Collided (After Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,57,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
3315,After We Collided (After Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,pickens county,227,"pickens, GA",GA ,Pickens                     ,13,227,10000,9,ATLANTA (GA)                                                         ,524,US-GA-524
3316,After We Collided (After Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,21,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
