,Title,State,District,Date.of.Challenge.Removal,Month,Year,school_district,County_Merge,County.FIPS,county_state,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA,code,Trends_DMA
996,"Culturally Responsive Teaching: Theory, Research, and Practice",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1006,Luis Munoz Marin (Community Builders),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1009,Lily and Dunkin,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1025,Melissa (George),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1036,Black Youth Rising: Activism and Radical Healing in Urban America,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1037,Hope and Healing in Urban Education: How Urban Activists and Teachers are Reclaiming Matters of the Heart,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1083,The Hula-Hoopin' Queen,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1097,"They, She, He Easy as ABC",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1121,Who Was Maria Tallchief? (Who was...? Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1124,Refugee,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1157,Lighter than My Shadow,Pennsylvania,Eastern Lancaster County School District,21-Oct,10,2021,eastern lancaster county school district,lancaster county,71,"lancaster, PA",PA ,Lancaster                   ,42,71,167240,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1183,Leila in Saffron,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1198,Prince & Knight (Prince & Knight Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1199,Culturally Responsive Teaching and The Brain: Promoting Authentic Engagement and Rigor Among Culturally and Linguistically Diverse Students,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1226,Little Leaders: Bold Women in Black History,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1227,Little Legends: Exceptional Men in Black History,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1240,Ramadan Around The World,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1260,Who Is Derek Jeter? (Who was...? Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1265,Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1269,When the Beat Was Born: DJ Kool Herc and the Creation of Hip Hop,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1278,Amazing Grace (Grace Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1281,"Culturally and Linguistically Responsive Teaching and Learning – Classroom Practices for Student Success, Grades K-12",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1289,Lovely,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1290,Teaching to Transgress: Education as the Practice of Freedom,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1371,Michelle,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1372,What Is the Women's Rights Movement? (What was...? Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1378,How Many Stars in the Sky?,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1412,Catching the Moon: The Story of a Young Girl's Baseball Dream,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1414,My Friend Maya Loves to Dance,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1472,Teaching Truly: A Curriculum to Indigenize Mainstream Education,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1482,I Promise,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1483,When Stars Are Scattered,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1512,"This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1515,"Red Kite, Blue Kite",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1516,IntersectionAllies: We Make Room for All,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1552,All Boys Aren't Blue,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1584,The Parker Inheritance,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1585,What Were the Negro Leagues? (What was...? Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1607,Abuela's Birthday (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1608,Abuela's Special Letters (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1609,Every Day Is Exciting (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1610,Hector's Hiccups (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1611,Lights Out (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1612,My Family Adventure (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1613,My Fantástica Family (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1614,My Vida Loca (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1616,Picture Perfect (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1617,Shopping Trip Trouble (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1618,Singing Superstar (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1619,Sofia's Party Shoes (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1620,The Beach Trip (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1621,The Marigold Mess (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1622,The Missing Mouse (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1623,The Secret Recipe (Sofía Martínez Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1626,"Maya Angelou (Little People, Big Dreams Series)",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1653,Los colores de nuestra piel/The Colors of Us (Spanish Version),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1654,The Colors of Us/Los colores de nuestra piel,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1660,"Not Light, but Fire: How to Lead Meaningful Race Conversations in the Classroom",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1665,How to Be an Antiracist,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1670,Stamped from the Beginning: The Definitive History of Racist Ideas in America,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1680,The Arabic Quilt: An Immigrant Story,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1682,Home of the Brave: 15 Immigrants Who Shaped U.S. History,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1683,Like the Moon Loves the Sky,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1684,Under My Hijab,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1709,All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1710,All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color (Spanish Version),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1790,"Iguales, pero diferentes (Same, Same But Different)",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1791,"Same, Same But Different",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1792,Harvesting Hope: The Story of Cesar Chavez,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1794,Starstruck: The Cosmic Journey of Neil Degrasse Tyson,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1795,What Was the March on Washington? (What was...? Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1796,Hank's Big Day: The Story of a Bug,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1819,El color de la piel,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1822,Who Was Maya Angelou? (Who was...? Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1830,The Dreamkeepers: Successful Teachers of African American Children,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1831,¡Vámonos! Let's Go!,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1840,25 Women Who Dared to Go,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1841,"Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1853,Drawn Together,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1861,Mindy Kim and the Big Pizza Challenge (Mindy Kim Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1862,Mindy Kim and the Birthday Puppy (Mindy Kim Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1863,Mindy Kim and the Fairy-Tale Wedding (Mindy Kim Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1864,Mindy Kim and the Lunar New Year Parade (Mindy Kim Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1865,Mindy Kim and the Trip to Korea (Mindy Kim Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1866,Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1867,"Mindy Kim, Class President (Mindy Kim Series)",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1880,Henry's Freedom Box: A True Story from the Underground Railroad,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1926,A Big Mooncake for Little Star,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1957,For Black Girls Like Me,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1978,We Want to Do More Than Survive: Abolitionist Teaching and the Pursuit of Educational Freedom,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1981,Julián Is a Mermaid (Julián Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1984,The Power of One: Every Act of Kindness Counts,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
1996,"Reparations, Yes!: The Legal And Political Reasons Why New Afrikans, Black People In North America, Should Be Paid Now For The Enslavement Of Our Ancestors",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
2002,"Black Appetite. White Food.: Issues of Race, Voice, and Justice Within and Beyond the Classroom",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
2010,"Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
2059,Fry Bread: A Native American Family Story,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
2069,"Get Up, Stand Up",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
2072,"Squeak, Rumble, Whomp! Whomp! Whomp!: A Sonic Adventure",Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
2079,Alma and How She Got Her Name,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
2134,Hands Up!,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
2135,What Was the Underground Railroad? (What was...? Series),Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
2137,Come with Me,Pennsylvania,Central York School District,21-Aug,8,2021,central york school district,york county,133,"york, PA",PA ,York                        ,42,133,150910,47,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ,566,US-PA-566
