"","DMAINDEX","DMA","tot_pop","code","Trends_DMA"
"77",64,"FLINT (MI) - SAGINAW (MI) - BAY CITY (MI)                            ",1128262,NA,"US-MI-NA"
"78",65,"LEXINGTON (KY)                                                       ",1304768,NA,NA
"79",66,"WICHITA (KS) - HUTCHINSON (KS)                                       ",1207166,678,"US-KS-678"
"80",67,"ROANOKE (VA) - LYNCHBURG (VA)                                        ",833442,573,"US-VA-573"
"81",67,"ROANOKE-LYNCHBURG                                                    ",NA,573,"US-VA-573"
"82",68,"TOLEDO (OH)                                                          ",1091921,NA,NA
"83",69,"GREEN BAY (WI) - APPLETON (WI)                                       ",1163461,658,"US-WI-658"
"84",70,"FT. MYERS (FL) - NAPLES (FL)                                         ",1429362,571,"US-FL-571"
"85",71,"HONOLULU (HI)                                                        ",1450539,NA,NA
"86",72,"DES MOINES (IA) - AMES (IA)                                          ",1205458,679,"US-IA-679"
"87",73,"SPRINGFIELD (MO)                                                     ",1153004,543,"US-MO-543"
"88",73,"SPRINGFIELD (MO)                                                     ",1153004,619,"US-MO-619"
"89",74,"TUCSON (AZ) - SIERRA VISTA (AZ)                                      ",1215735,NA,NA
"90",75,"PADUCAH (KY) - CAPE GIRARDEAU (MO) - HARRISBURG (IL) - MT VERNON (KS)",960570,NA,NA
"91",76,"PORTLAND (ME) - AUBURN (ME)                                          ",1034870,NA,NA
"92",77,"ROCHESTER (NY)                                                       ",1046711,NA,NA
"93",78,"OMAHA (NE)                                                           ",1187615,NA,"US-NE-NA"
"94",79,"SPOKANE (WA)                                                         ",1250922,NA,NA
"95",80,"SYRACUSE (NY)                                                        ",917826,NA,NA
"96",81,"SHREVEPORT (LA)                                                      ",976760,612,"US-TX-612"
"97",82,"CHAMPAIGN (IL) - SPRINGFIELD (IL) - DECATUR (IL)                     ",932858,NA,NA
"98",83,"HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ",1091394,NA,NA
"99",84,"COLUMBIA (SC)                                                        ",1106909,NA,NA
"100",85,"CHATTANOOGA (TN)                                                     ",1041015,575,"US-TN-575"
"101",86,"MADISON (WI)                                                         ",1036604,NA,NA
"102",87,"SOUTH BEND (IN) - ELKHART (IN)                                       ",908011,588,"US-IN-588"
"103",87,"SOUTH BEND (IN) - ELKHART (IN)                                       ",908011,588,"US-MI-588"
"104",88,"CEDAR RAPIDS (IA) - WATERLOO (IA) - IOWA CITY (IA) - DUBUQUE (IA)    ",916125,NA,NA
"105",89,"JACKSON (MS)                                                         ",895459,718,"US-MS-718"
"106",90,"KINGSPORT (TN) - JOHNSON CITY (TN) - BRISTOL (TN)                    ",767420,NA,NA
