Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
Ace of Spades,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Clap When You Land,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Poet X,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
The Poet X,Banned in Libraries and Classrooms,,,New York,Marlboro Central School District,Feb-22,Administrator
The Poet X,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
The Poet X,Banned in Libraries,,,Virginia,New Kent County Public Schools,Oct-21,Administrator
Call Me By Your Name (Call Me By Your Name Series),Banned Pending Investigation,,,Virginia,Spotsylvania County Public Schools,Nov-21,Administrator
"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
My Name Is María Isabel,Banned Pending Investigation,"Thompson, Kathryn Dyble","Cerro, Ana M.",Florida,Duval County Public Schools,Jan-22,Administrator
Time to Pray,Banned Pending Investigation,"Gannon, Ned","Albitar, Nuha",Florida,Duval County Public Schools,Jan-22,Administrator
Children of Blood and Bone (Legacy of Orïsha Series),Banned Pending Investigation,,,Texas,Katy Independent School District,Jan-22,Administrator
"47,000 Beads",Banned in Classrooms,"McGillis, Holly",,Pennsylvania,Central York School District,Aug-21,Administrator
Half of a Yellow Sun,Banned in Classrooms,,,Michigan,Hudsonville Public Schools,Jan-22,Formal Challenge
Cool for the Summer,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Accidental Adventures of India McAllister,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
How It All Blew Up,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
How It All Blew Up,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Mae Among the Stars,Banned in Classrooms,"Burrington, Stasia",,Pennsylvania,Central York School District,Aug-21,Administrator
"Love, Hate & Other Filters",Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
"Love, Hate & Other Filters",Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Here's to Us,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Kate in Waiting,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Leah on the Offbeat (Simonverse Series),Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
Leah on the Offbeat (Simonverse Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Love, Creekwood: A Simonverse Novella (Simonverse Series)",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
What If It's Us (What If It's Us Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
What If It's Us (What If It's Us Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
What If It's Us (What If It's Us Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Indivisible,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Undefeated,Banned in Classrooms,"Nelson, Kadir",,Pennsylvania,Central York School District,Aug-21,Administrator
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Florida,Indian River County School District,Nov-21,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,"Forney, Ellen",,Florida,Jackson County School District,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,"Forney, Ellen",,Florida,Lee County Schools,Mar-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Florida,Santa Rosa County District Schools,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Florida,St. Lucie Public Schools,Jan-22,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Florida,Walton County School District,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Georgia,Forsyth County Schools,Jan-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,"Forney, Ellen",,Idaho,Nampa School District,May-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Iowa,Ankeny Community School District,Nov-21,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Iowa,Ottumwa Community School District,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,"Forney, Ellen",,Kansas,Derby Public Schools,Nov-21,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Kansas,Goddard Public Schools,Nov-21,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Michigan,Gladwin Community Schools,May-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Mississippi,Madison County Schools,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Oklahoma,Bristow Public Schools,Oct-21,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Thunder Boy Jr.,Banned Pending Investigation,"Morales, Yuyi",,Florida,Duval County Public Schools,Jan-22,Administrator
Girls Like Us (2019),Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
The Case for Loving: The Fight for Interracial Marriage,Banned in Classrooms,"Qualls, Sean",,Pennsylvania,Central York School District,Aug-21,Administrator
The House of the Spirits,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
The Ballad of Ami Miles,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Hear These Voices: Youth at the Edge of the Millennium,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
A is for Audra: Broadway's Leading Ladies from A to Z,Banned in Classrooms,"Emmerich, Peter",,Pennsylvania,Central York School District,Aug-21,Administrator
"Bioethics: Who Lives, Who Dies, And Who Decides?",Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
"Bioethics: Who Lives, Who Dies, And Who Decides?",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
"Bless Me, Ultima",Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
The Weight of the Stars,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Victories Greater Than Death (Unstoppable Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Neither,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
White Rage: The Unspoken Truth of Our Racial Divide,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Shout,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Shout,Banned in Classrooms,,,Texas,Leander Independent School District,Sep-21,Administrator
Shout,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Speak,Banned Pending Investigation,,,Florida,Flagler Schools,Nov-21,Administrator
Speak,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Speak,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
Speak,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Speak,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
Speak,Banned in Libraries,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Feed,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Me and Earl and the Dying Girl,Banned Pending Investigation,,,Florida,Osceola County School District,Apr-22,Administrator
Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,Georgia,Forsyth County Schools,Jan-22,Administrator
Me and Earl and the Dying Girl,Banned in Libraries,,,Iowa,Ankeny Community School District,Nov-21,Formal Challenge
Me and Earl and the Dying Girl,Banned Pending Investigation,,,Pennsylvania,Downingtown Area School District,Oct-21,Administrator
Me and Earl and the Dying Girl,Banned Pending Investigation,,,Pennsylvania,Elizabethtown Area School District,Apr-22,Formal Challenge
Me and Earl and the Dying Girl,Banned in Libraries,,,Tennessee,Blount County Schools,Nov-21,Formal Challenge
Me and Earl and the Dying Girl,Banned in Libraries,,,Texas,Cypress-Fairbanks Independent School District,Jan-22,Administrator
Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Me and Earl and the Dying Girl,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,Texas,Katy Independent School District,Nov-21,Administrator
Me and Earl and the Dying Girl,Banned in Libraries,,,Texas,Keller Independent School District,Nov-21,Formal Challenge
Me and Earl and the Dying Girl,Banned Pending Investigation,,,Texas,Lamar Consolidated Independent School District,Dec-21,Administrator
Me and Earl and the Dying Girl,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Haters,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
The Haters,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
The Haters,Banned Pending Investigation,,,Michigan,Rochester Community Schools District,Apr-22,Administrator
The 5 O'Clock Band,Banned in Classrooms,"Collier, Bryan",,Pennsylvania,Central York School District,Aug-21,Administrator
Trombone Shorty,Banned in Classrooms,"Collier, Bryan",,Pennsylvania,Central York School District,Aug-21,Administrator
And Still I Rise,Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,,Oklahoma,Edmond Public Schools,Oct-21,Administrator
Modern Romance: An Investigation,Banned Pending Investigation,,,Missouri,Wentzville School District,Oct-21,Formal Challenge
Duels and Deception,Banned in Libraries,,,Texas,Katy Independent School District,Apr-22,Administrator
LGBTQ Families: The Ultimate Teen Guide,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Wishtree,Banned in Libraries and Classrooms,"Santoso, Charles",,Florida,Indian River County School District,Nov-21,Administrator
Meet Cute: Some People Are Destined to Meet,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
A Boy Called Bat (A Boy Called Bat Series),Banned in Classrooms,"Santoso, Charles",,Pennsylvania,Central York School District,Aug-21,Administrator
Bat and the End of Everything (A Boy Called Bat Series),Banned in Classrooms,"Santoso, Charles",,Pennsylvania,Central York School District,Aug-21,Administrator
Bat and the Waiting Game (A Boy Called Bat Series),Banned in Classrooms,"Santoso, Charles",,Pennsylvania,Central York School District,Aug-21,Administrator
Damsel,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Infandous,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Infandous,Banned in Libraries,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Red Hood,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
What Girls Are Made Of,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
What Girls Are Made Of,Banned in Libraries and Classrooms,,,Texas,Cypress-Fairbanks Independent School District,Apr-22,Administrator
What Girls Are Made Of,Banned in Libraries and Classrooms,,,Texas,Frisco Independent School District,May-22,Administrator
A Girl on the Shore,Banned in Libraries and Classrooms,,,Ohio,Hudson City Schools,Sep-21,Administrator
Thirteen Reasons Why,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Thirteen Reasons Why,Banned in Libraries and Classrooms,,,Florida,Jackson County School District,Apr-22,Administrator
Thirteen Reasons Why,Banned in Libraries,,,Florida,Lee County Schools,May-22,Administrator
Thirteen Reasons Why,Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
Thirteen Reasons Why,Banned Pending Investigation,,,Florida,Santa Rosa County District Schools,Apr-22,Administrator
Thirteen Reasons Why,Banned in Libraries,,,Florida,St. Johns County School District,May-22,Formal Challenge
Thirteen Reasons Why,Banned in Libraries,,,Florida,St. Lucie Public Schools,Dec-21,Formal Challenge
Thirteen Reasons Why,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Thirteen Reasons Why,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
Thirteen Reasons Why,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Thirteen Reasons Why,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Thirteen Reasons Why,Banned in Libraries,,,Texas,Katy Independent School District,Oct-21,Administrator
Anna Hibiscus (Anna Hibiscus Series),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Black Flamingo,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
The Black Flamingo,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Black Flamingo,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Handmaid's Tale,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
The Handmaid's Tale,Banned in Libraries,,,Georgia,Forsyth County Schools,Jan-22,Administrator
The Handmaid's Tale,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
The Handmaid's Tale,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
The Handmaid's Tale,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
The Handmaid's Tale,Banned Pending Investigation,,,Michigan,Rochester Community Schools District,Apr-22,Administrator
The Handmaid's Tale,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
The Handmaid's Tale,Banned Pending Investigation,,,Texas,Klein Independent School District,Nov-21,Administrator
The Handmaid's Tale,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,"Nault, Renee",,Kansas,Goddard Public Schools,Nov-21,Administrator
The Handmaid's Tale: The Graphic Novel,Banned in Libraries,"Nault, Renee",,Oregon,Medford School District 549C,Apr-22,Formal Challenge
The Handmaid's Tale: The Graphic Novel,Banned in Classrooms,"Nault, Renee",,Texas,Leander Independent School District,Sep-21,Administrator
The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,"Nault, Renee",,Texas,North East Independent School District,Dec-21,Administrator
The Testaments,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
The Testaments,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Raise the Stakes,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Worm Loves Worm,Banned in Classrooms,"Curato, Mike",,Florida,Lee County Schools,Mar-22,Administrator
Worm Loves Worm,Banned Pending Investigation,"Curato, Mike",,Florida,Walton County School District,Apr-22,Administrator
Rising Out,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Sex, Puberty, and All That Stuff: A Guide to Growing Up",Banned in Libraries,"McCafferty, Jan",,Texas,North East Independent School District,Dec-21,Administrator
Morris Micklewhite and the Tangerine Dress,Banned in Classrooms,"Malenfant, Isabelle",,Pennsylvania,Central York School District,Aug-21,Administrator
Morris Micklewhite and the Tangerine Dress,Banned Pending Investigation,"Malenfant, Isabelle",,Texas,North East Independent School District,Dec-21,Administrator
Blindspot: Hidden Biases of Good People,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
One Man Guy,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,Banned in Classrooms,"McClintock, Barbara",,Pennsylvania,Central York School District,Aug-21,Administrator
Six of Crows (Six of Crows Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)",Banned in Classrooms,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,Aug-21,Administrator
Crown: An Ode to the Fresh Cut,Banned in Classrooms,"James, Gordon C.",,Pennsylvania,Central York School District,Aug-21,Administrator
I Am Every Good Thing,Banned in Classrooms,"James, Gordon C.",,Pennsylvania,Central York School District,Aug-21,Administrator
Ruby Flips For Attention (Ruby and the Booker Boys Series),Banned in Classrooms,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,Aug-21,Administrator
Slumber Party Payback (Ruby and the Booker Boys Series),Banned in Classrooms,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,Aug-21,Administrator
"Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)",Banned in Classrooms,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,Aug-21,Administrator
No Mirrors in My Nana's House: Musical CD and Book,Banned in Classrooms,"Saint James, Synthia",,Pennsylvania,Central York School District,Aug-21,Administrator
Peter Pan,Banned Pending Investigation,,,Tennessee,Hamilton County Schools,Oct-21,Administrator
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,Texas,Klein Independent School District,Nov-21,Administrator
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Heart of Thorns (Heart of Thorns Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Soul of Cinder (Heart of Thorns Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Tears of Frost (Heart of Thorns Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Wonders of the Invisible World,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Girls Made of Snow and Glass,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Cinderella Is Dead,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Cinderella Is Dead,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Cinderella Is Dead,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Sky Is Mine,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Sofia Valdez, Future Prez (Questioneers Picture Books Series)",Banned in Classrooms,"Roberts, David",,Pennsylvania,Central York School District,Aug-21,Administrator
Knock Knock: My Dad's Dream for Me,Banned in Classrooms,"Collier, Bryan",,Pennsylvania,Central York School District,Aug-21,Administrator
Fun Home: A Family Tragicomic,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
Fun Home: A Family Tragicomic,Banned Pending Investigation,,,Michigan,Rochester Community Schools District,Apr-22,Administrator
Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,Missouri,Nixa Public Schools,May-22,Formal Challenge
Fun Home: A Family Tragicomic,Banned Pending Investigation,,,Missouri,North Kansas City Schools,Oct-21,Formal Challenge
Fun Home: A Family Tragicomic,Banned Pending Investigation,,,Missouri,Wentzville School District,Oct-21,Formal Challenge
Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,Rhode Island,Pawtucket School Department,Dec-21,Administrator
Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,South Dakota,Rapid City Area Schools,Apr-22,Administrator
Fun Home: A Family Tragicomic,Banned Pending Investigation,,,Texas,Birdville Independent School District,Oct-21,Formal Challenge
Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,Texas,Clear Creek Independent School District,May-22,Administrator
Counting on Katherine: How Katherine Johnson Saved Apollo 13,Banned in Classrooms,"Phumiruk, Dow",,Pennsylvania,Central York School District,Aug-21,Administrator
"Dating, Relationships, And Sexuality: What Teens Should Know",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Lucky Broken Girl,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Lucky Broken Girl,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries,"Robinson, Christopher",,Florida,St. Johns County School District,May-22,Formal Challenge
Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Robinson, Christopher",,Tennessee,Collierville Schools,Feb-22,Administrator
Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Robinson, Christopher",,Wisconsin,Elmbrook Schools,Jul-21,Administrator
Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Robinson, Christopher",,Wisconsin,School District of Waukesha,Dec-21,Administrator
Faces at the Bottom of the Well: The Permanence of Racism,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Alan Cole Is Not a Coward,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Death Wind,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Death Wind,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
La tormenta,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Great,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Great,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Not Norman: A Goldfish Story,Banned in Classrooms,"Jones, Noah Z.",,Pennsylvania,Central York School District,Aug-21,Administrator
Things That Make White People Uncomfortable (Adapted for Young Adults),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Far from the Tree,Banned in Libraries,,,Indiana,Middlebury Community Schools,Dec-21,Administrator
Far from the Tree,Banned Pending Investigation,,,Tennessee,Hamilton County Schools,Oct-21,Administrator
Kaleidoscope Song,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Berenstain Bears and the Big Question (The Berenstain Bears Series),Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
This Place Is Not My Home,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Trans Mission: My Quest to a Beard,Banned in Libraries and Classrooms,,,Texas,Frisco Independent School District,Feb-22,Administrator
Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Being Transgender: What You Should Know,Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Sin-Eater's Confession,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Sin-Eater's Confession,Banned Pending Investigation,,,Texas,Klein Independent School District,Nov-21,Administrator
The Sin-Eater's Confession,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Marvelous Cornelius: Hurricane Katrina and the Spirit of New Orleans,Banned in Classrooms,"Parra, John",,Pennsylvania,Central York School District,Aug-21,Administrator
Most Valuable Players (Rip and Red Series),Banned Pending Investigation,"Probert, Tim",,Florida,Duval County Public Schools,Jan-22,Administrator
Playing the Field,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
I Kissed Alice,Banned Pending Investigation,"Ying, Victoria",,Tennessee,Collierville Schools,Feb-22,Administrator
"Sorted: Growing Up, Coming Out, and Finding My Place",Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Grandmama's Pride,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
My Invented Life,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
My Invented Life,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
The Baby Tree,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Baby Tree,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Baby Tree,Banned in Libraries and Classrooms,,,Wisconsin,School District of Cadott Community,Mar-22,Formal Challenge
Boy2Girl,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Girl Made of Stars,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Girl Made of Stars,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
How to Make a Wish,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,"Rojas, María Celina",Texas,North East Independent School District,Dec-21,Administrator
The Mighty Heart of Sunny St. James,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Bowery Girl,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Someone I Used to Know,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Forever...,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Forever...,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Forever...,Banned in Libraries and Classrooms,,,Florida,Jackson County School District,Apr-22,Administrator
Forever...,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
"Then Again, Maybe I Won't",Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
