Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
Who Wants I Scream? (Desmond Cole Ghost Patrol Series),Banned in Classrooms,"Rivas, Víctor",,Pennsylvania,Central York School District,Aug-21,Administrator
Touching Spirit Bear (Spirit Bear Series),Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
Gearbreakers (Gearbreakers Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Brave Leaders and Activists,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
What We Devour,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Swimming with Faith: The Missy Franklin Story (ZonderKidz Biography Series),Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Don't Touch My Hair!,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Early Sunday Morning,Banned Pending Investigation,"Brantley-Newton, Vanessa",,Florida,Duval County Public Schools,Jan-22,Administrator
Early Sunday Morning,Banned in Classrooms,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,Aug-21,Administrator
Uncle Jed's Barber Shop,Banned Pending Investigation,"Ransome, James E.",,Florida,Duval County Public Schools,Jan-22,Administrator
All the Things We Do in the Dark,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
All the Things We Do in the Dark,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Out Now: Queer We Go Again!,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Baseball Saved Us,Banned in Libraries and Classrooms,"Lee, Dom",,Florida,Indian River County School District,Nov-21,Administrator
The Drinking Gourd: A Story of the Underground Railroad,Banned Pending Investigation,"Brenner, Fred",,Florida,Duval County Public Schools,Jan-22,Administrator
No One Knows About You,Banned in Libraries,,,Texas,Katy Independent School District,Apr-22,Administrator
Should Abortion Be Legal?,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Guide for White Women Who Teach Black Boys,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
V for Vendetta,Banned Pending Investigation,"Lloyd, David",,Texas,Granbury Independent School District,Jan-22,Administrator
V for Vendetta,Banned in Classrooms,"Lloyd, David",,Texas,Leander Independent School District,Sep-21,Administrator
V for Vendetta,Banned in Libraries,"Lloyd, David",,Texas,North East Independent School District,Dec-21,Administrator
No Ashes in the Fire: Coming of Age Black and Free in America,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Discovering Wes Moore,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
Saturday,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
"Thank You, Omu!",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Love to Mama: A Tribute To Mothers,Banned Pending Investigation,"Barragán M., Paula S.",,Florida,Duval County Public Schools,Jan-22,Administrator
Dreamers,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Dreamers,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Little Night/Nochecita,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Niño Wrestles the World (Niño Series),Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Niño Wrestles the World (Niño Series),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
It Goes Like This,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Pushout: The Criminalization of Black Girls in Schools,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Beloved,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Beloved,Banned in Libraries and Classrooms,,,Florida,Jackson County School District,Apr-22,Administrator
Beloved,Banned in Libraries and Classrooms,,,Florida,Lee County Schools,Mar-22,Administrator
Beloved,Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
Beloved,Banned Pending Investigation,,,Florida,Santa Rosa County District Schools,Apr-22,Administrator
Beloved,Banned in Libraries,,,Florida,St. Lucie Public Schools,Dec-21,Formal Challenge
Beloved,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Beloved,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Beloved,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
Beloved,Banned in Libraries,,,Texas,Katy Independent School District,Feb-22,Administrator
Beloved,Banned Pending Investigation,,,Texas,Klein Independent School District,Nov-21,Administrator
Peeny Butter Fudge,Banned in Classrooms,"Cepeda, Joe",,Pennsylvania,Central York School District,Aug-21,Administrator
The Bluest Eye,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
The Bluest Eye,Banned in Libraries and Classrooms,,,Florida,Jackson County School District,Apr-22,Administrator
The Bluest Eye,Banned in Libraries and Classrooms,,,Florida,Lee County Schools,Feb-22,Administrator
The Bluest Eye,Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
The Bluest Eye,Banned Pending Investigation,,,Florida,Santa Rosa County District Schools,Apr-22,Administrator
The Bluest Eye,Banned in Libraries and Classrooms,,,Florida,Sarasota County School,May-22,Administrator
The Bluest Eye,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
The Bluest Eye,Banned in Libraries and Classrooms,,,Georgia,Forsyth County Schools,Jan-22,Administrator
The Bluest Eye,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
The Bluest Eye,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
The Bluest Eye,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
The Bluest Eye,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
The Bluest Eye,Banned in Libraries,,,Missouri,Nixa Public Schools,Feb-22,Formal Challenge
The Bluest Eye,Banned in Libraries and Classrooms,,,Missouri,Wentzville School District,Jan-22,Formal Challenge
The Bluest Eye,Banned Pending Investigation,,,New York,Yorktown Central School District,Jan-22,Formal Challenge
The Bluest Eye,Banned in Libraries and Classrooms,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
The Bluest Eye,Banned in Libraries,,,Tennessee,Wilson County School District,Mar-22,Other
The Bluest Eye,Banned Pending Investigation,,,Texas,Birdville Independent School District,Oct-21,Formal Challenge
The Bluest Eye,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
The Bluest Eye,Banned Pending Investigation,,,Texas,Klein Independent School District,Nov-21,Administrator
The Bluest Eye,Banned Pending Investigation,,,Utah,Canyons School District,Oct-21,Administrator
The Bluest Eye,Banned Pending Investigation,,,Virginia,Virginia Beach City Public Schools,Oct-21,Administrator
The Doctor with an Eye for Eyes: The Story of Dr. Patricia Bath,Banned in Classrooms,"Rieley, Daniel",,Pennsylvania,Central York School District,Aug-21,Administrator
The Girl with a Mind for Math: The Story of Raye Montague,Banned in Classrooms,"Rieley, Daniel",,Pennsylvania,Central York School District,Aug-21,Administrator
"Gone, Gone, Gone",Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
"Gone, Gone, Gone",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Marco Impossible,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
47,Banned in Classrooms,,,Texas,Keller Independent School District,Nov-21,Formal Challenge
Barbed Wire Baseball: How One Man Brought Hope to the Japanese Internment Camps of WWII,Banned Pending Investigation,"Shimizu, Yuko",,Florida,Duval County Public Schools,Jan-22,Administrator
