"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"55","US-GA-524","3","2022","ATLANTA (GA)                                                         ","GA ",5,70.5,71
"56","US-GA-524","6","2023","ATLANTA (GA)                                                         ","GA ",4,79.5,85.2
"57","US-IA-624","3","2023","SIOUX CITY (IA)                                                      ","IA ",2,0,0
"58","US-IA-631","4","2022","OTTUMWA (IA) - KIRKSVILLE (MO)                                       ","IA ",1,0,0
"59","US-IA-679","4","2023","DES MOINES (IA) - AMES (IA)                                          ","IA ",2,15,0
"60","US-IA-679","8","2022","DES MOINES (IA) - AMES (IA)                                          ","IA ",3,19,25
"61","US-IA-725","3","2023","SIOUX CITY (IA)                                                      ","IA ",2,0,0
"62","US-IN-527","11","2022","INDIANAPOLIS (IN)                                                    ","IN ",3,53.2,42.25
"63","US-IN-588","12","2021","SOUTH BEND (IN) - ELKHART (IN)                                       ","IN ",8,0,0
"64","US-KS-616","3","2023","KANSAS CITY (MO)                                                     ","KS ",7,59,55.8
"65","US-MD-576","2","2022","SALISBURY (MD)                                                       ","MD ",1,0,0
"66","US-MI-505","1","2022","DETROIT (MI)                                                         ","MI ",1,53.75,53.75
"67","US-MI-505","1","2023","DETROIT (MI)                                                         ","MI ",6,49.25,77.5
"68","US-MI-505","2","2023","DETROIT (MI)                                                         ","MI ",11,65.4,62.5
"69","US-MI-505","8","2022","DETROIT (MI)                                                         ","MI ",8,60.8,60.75
"70","US-MI-540","2","2023","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",1,0,0
"71","US-MI-540","5","2022","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",34,0,0
"72","US-MI-563","10","2022","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,41.5,31.5
"73","US-MI-563","12","2022","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,31.5,56.8
"74","US-MI-588","9","2022","SOUTH BEND (IN) - ELKHART (IN)                                       ","MI ",1,20.5,0
"75","US-MI-773","10","2022","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,0,0
"76","US-MI-773","12","2022","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,0,0
"77","US-MO-543","2","2022","SPRINGFIELD (MO)                                                     ","MO ",18,0,0
"78","US-MO-543","4","2023","SPRINGFIELD (MO)                                                     ","MO ",30,0,19.25
"79","US-MO-543","5","2022","SPRINGFIELD (MO)                                                     ","MO ",9,0,0
"80","US-MO-543","6","2023","SPRINGFIELD (MO)                                                     ","MO ",15,19.25,0
"81","US-MO-609","1","2022","ST. LOUIS (MO)                                                       ","MO ",1,47.5,58.5
"82","US-MO-609","10","2022","ST. LOUIS (MO)                                                       ","MO ",14,58,50
"83","US-MO-609","11","2022","ST. LOUIS (MO)                                                       ","MO ",12,56.6,54
"84","US-MO-609","3","2022","ST. LOUIS (MO)                                                       ","MO ",2,58.5,53
"85","US-MO-609","5","2022","ST. LOUIS (MO)                                                       ","MO ",2,53,70.25
"86","US-MO-609","7","2022","ST. LOUIS (MO)                                                       ","MO ",1,70.25,70
"87","US-MO-609","8","2022","ST. LOUIS (MO)                                                       ","MO ",49,80.4,58
"88","US-MO-609","9","2022","ST. LOUIS (MO)                                                       ","MO ",239,70,56.6
"89","US-MO-616","9","2022","KANSAS CITY (MO)                                                     ","MO ",14,74,53.8
"90","US-MO-619","2","2022","SPRINGFIELD (MO)                                                     ","MO ",18,0,16.5
"91","US-MO-619","4","2023","SPRINGFIELD (MO)                                                     ","MO ",30,0,20.5
"92","US-MO-619","5","2022","SPRINGFIELD (MO)                                                     ","MO ",9,0,0
"93","US-MO-619","6","2023","SPRINGFIELD (MO)                                                     ","MO ",15,20.5,0
"94","US-MS-718","4","2022","JACKSON (MS)                                                         ","MS ",22,25,31.4
"95","US-NC-517","2","2023","CHARLOTTE (NC)                                                       ","NC ",2,66.6,59.75
"96","US-NC-517","5","2023","CHARLOTTE (NC)                                                       ","NC ",4,64.2,82
"97","US-NC-518","1","2023","GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",1,15,26.25
"98","US-NC-518","4","2022","GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",1,38.75,30.8
"99","US-NC-518","5","2022","GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",3,13.75,43.75
"100","US-NC-518","6","2022","GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",2,30.8,20.8
"101","US-NC-550","2","2023","WILMINGTON (NC)                                                      ","NC ",41,0,0
"102","US-NC-560","4","2022","RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)                       ","NC ",2,58.75,56.2
"103","US-NC-560","4","2023","RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)                       ","NC ",9,68,55.75
"104","US-NC-567","1","2022","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","NC ",1,31.5,21
"105","US-NC-584","2","2023","CHARLOTTE (NC)                                                       ","NC ",2,0,0
"106","US-NC-584","5","2023","CHARLOTTE (NC)                                                       ","NC ",4,0,0
"107","US-NJ-501","5","2023","NEW YORK (NY)                                                        ","NJ ",1,80.6,85.75
"108","US-NY-501","1","2022","NEW YORK (NY)                                                        ","NY ",9,63.25,78
"109","US-NY-501","1","2023","NEW YORK (NY)                                                        ","NY ",2,66.5,82
"110","US-NY-501","11","2022","NEW YORK (NY)                                                        ","NY ",1,73.4,66.5
"111","US-NY-501","12","2022","NEW YORK (NY)                                                        ","NY ",2,74.75,79.4
"112","US-NY-501","2","2022","NEW YORK (NY)                                                        ","NY ",4,63.4,73.5
"113","US-NY-501","3","2022","NEW YORK (NY)                                                        ","NY ",2,78,68.75
"114","US-NY-501","4","2022","NEW YORK (NY)                                                        ","NY ",1,73.5,68.2
"115","US-NY-501","9","2022","NEW YORK (NY)                                                        ","NY ",1,81,73.4
"116","US-OR-500","10","2022","PORTLAND (OR)                                                        ","OR ",4,0,0
"117","US-OR-500","3","2023","PORTLAND (OR)                                                        ","OR ",70,25,0
"118","US-OR-820","10","2022","PORTLAND (OR)                                                        ","OR ",4,53.75,52.75
"119","US-OR-820","3","2023","PORTLAND (OR)                                                        ","OR ",70,58,51.6
"120","US-PA-504","12","2021","PHILADELPHIA (PA)                                                    ","PA ",1,60,61.8
"121","US-PA-504","12","2022","PHILADELPHIA (PA)                                                    ","PA ",2,65.5,79.2
"122","US-PA-504","3","2023","PHILADELPHIA (PA)                                                    ","PA ",2,73,67.4
"123","US-PA-508","2","2023","PITTSBURGH (PA)                                                      ","PA ",151,62.6,53.25
"124","US-PA-508","3","2022","PITTSBURGH (PA)                                                      ","PA ",1,46.75,45.25
"125","US-PA-516","2","2023","ERIE (PA)                                                            ","PA ",151,0,0
"126","US-PA-516","6","2022","ERIE (PA)                                                            ","PA ",1,0,0
"127","US-PA-566","1","2023","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",2,15.5,69.5
"128","US-PA-566","4","2022","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",1,0,40.4
