"","Month","Year","Trends_DMA","DMA","STATE","count"
"69","11","2021","US-PA-577","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",2
"70","11","2021","US-TX-618","HOUSTON (TX)                                                         ","TX ",46
"71","11","2021","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",11
"72","11","2021","US-VA-511","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",2
"73","11","2021","US-VA-556","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",1
"74","11","2021","US-VA-569","HARRISONBURG                                                         ","VA ",1
"75","11","2021","US-WA-819","SEATTLE (WA) - TACOMA (WA)                                           ","WA ",1
"76","11","2022","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2
"77","11","2022","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",6
"78","11","2022","US-IN-527","INDIANAPOLIS (IN)                                                    ","IN ",3
"79","11","2022","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",12
"80","11","2022","US-NY-501","NEW YORK (NY)                                                        ","NY ",1
"81","11","2022","US-SC-567","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","SC ",1
"82","11","2022","US-TX-618","HOUSTON (TX)                                                         ","TX ",3
"83","11","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",54
"84","11","2022","US-TX-635","AUSTIN (TX)                                                          ","TX ",1
"85","11","2022","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",152
"86","11","2022","US-VA-511","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",2
"87","12","2021","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",8
"88","12","2021","US-GA-524","ATLANTA (GA)                                                         ","GA ",1
"89","12","2021","US-IN-588","SOUTH BEND (IN) - ELKHART (IN)                                       ","IN ",8
"90","12","2021","US-PA-504","PHILADELPHIA (PA)                                                    ","PA ",1
"91","12","2021","US-TX-618","HOUSTON (TX)                                                         ","TX ",34
"92","12","2021","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2
"93","12","2021","US-TX-641","SAN ANTONIO (TX)                                                     ","TX ",435
"94","12","2022","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2
"95","12","2022","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",12
"96","12","2022","US-MI-563","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1
"97","12","2022","US-MI-773","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1
"98","12","2022","US-NY-501","NEW YORK (NY)                                                        ","NY ",2
"99","12","2022","US-PA-504","PHILADELPHIA (PA)                                                    ","PA ",2
"100","12","2022","US-TN-659","NASHVILLE (TN)                                                       ","TN ",2
"101","12","2022","US-TX-618","HOUSTON (TX)                                                         ","TX ",2
"102","12","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",8
"103","12","2022","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",23
"104","2","2022","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",1
"105","2","2022","US-FL-571","FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",2
"106","2","2022","US-GA-524","ATLANTA (GA)                                                         ","GA ",20
"107","2","2022","US-MD-576","SALISBURY (MD)                                                       ","MD ",1
"108","2","2022","US-MO-543","SPRINGFIELD (MO)                                                     ","MO ",18
"109","2","2022","US-MO-619","SPRINGFIELD (MO)                                                     ","MO ",18
"110","2","2022","US-NY-501","NEW YORK (NY)                                                        ","NY ",4
"111","2","2022","US-TN-640","MEMPHIS (TN)                                                         ","TN ",327
